pagecounts-20090101-000000.gz, size 40K
pagecounts-20090128-170001.gz, size 63M
pagecounts-20090128-180000.gz, size 63M
pagecounts-20090128-190000.gz, size 62M
pagecounts-20090128-200000.gz, size 62M
pagecounts-20090128-210000.gz, size 60M
pagecounts-20090128-220000.gz, size 58M
pagecounts-20090128-230001.gz, size 53M
pagecounts-20090129-000000.gz, size 50M
pagecounts-20090129-010000.gz, size 48M
pagecounts-20090129-020000.gz, size 40M
pagecounts-20090129-030000.gz, size 39M
pagecounts-20090129-040000.gz, size 39M
pagecounts-20090129-050001.gz, size 40M
pagecounts-20090129-060000.gz, size 40M
pagecounts-20090129-070000.gz, size 48M
pagecounts-20090129-080000.gz, size 51M
pagecounts-20090129-090000.gz, size 55M
pagecounts-20090129-100000.gz, size 58M
pagecounts-20090129-110001.gz, size 59M
pagecounts-20090129-120000.gz, size 60M
pagecounts-20090129-130000.gz, size 59M
pagecounts-20090129-140000.gz, size 62M
pagecounts-20090129-150000.gz, size 63M
pagecounts-20090129-160000.gz, size 62M
pagecounts-20090129-170001.gz, size 62M
pagecounts-20090129-180000.gz, size 61M
pagecounts-20090129-190000.gz, size 61M
pagecounts-20090129-200000.gz, size 59M
pagecounts-20090129-210000.gz, size 56M
pagecounts-20090129-220000.gz, size 57M
pagecounts-20090129-230001.gz, size 54M
pagecounts-20090130-000000.gz, size 51M
pagecounts-20090130-010000.gz, size 51M
pagecounts-20090130-020000.gz, size 49M
pagecounts-20090130-030000.gz, size 50M
pagecounts-20090130-040000.gz, size 50M
pagecounts-20090130-050001.gz, size 50M
pagecounts-20090130-060000.gz, size 41M
pagecounts-20090130-070000.gz, size 39M
pagecounts-20090130-080000.gz, size 42M
pagecounts-20090130-090000.gz, size 45M
pagecounts-20090130-100000.gz, size 46M
pagecounts-20090130-110001.gz, size 51M
pagecounts-20090130-120000.gz, size 56M
pagecounts-20090130-130000.gz, size 57M
pagecounts-20090130-140000.gz, size 59M
pagecounts-20090130-150000.gz, size 61M
pagecounts-20090130-160000.gz, size 61M
pagecounts-20090130-170001.gz, size 59M
pagecounts-20090130-180000.gz, size 58M
pagecounts-20090130-190000.gz, size 58M
pagecounts-20090130-200000.gz, size 57M
pagecounts-20090130-210000.gz, size 56M
pagecounts-20090130-220000.gz, size 54M
pagecounts-20090130-230001.gz, size 51M
pagecounts-20090131-000000.gz, size 48M
pagecounts-20090131-010000.gz, size 47M
pagecounts-20090131-020000.gz, size 38M
pagecounts-20090131-030000.gz, size 37M
pagecounts-20090131-040000.gz, size 43M
pagecounts-20090131-050001.gz, size 47M
pagecounts-20090131-060000.gz, size 46M
pagecounts-20090131-070000.gz, size 46M
pagecounts-20090131-080000.gz, size 46M
pagecounts-20090131-090000.gz, size 49M
pagecounts-20090131-100000.gz, size 54M
pagecounts-20090131-110001.gz, size 56M
pagecounts-20090131-120000.gz, size 50M
pagecounts-20090131-130000.gz, size 48M
pagecounts-20090131-140000.gz, size 50M
pagecounts-20090131-150000.gz, size 49M
pagecounts-20090131-160000.gz, size 51M
pagecounts-20090131-170001.gz, size 53M
pagecounts-20090131-180000.gz, size 53M
pagecounts-20090131-190000.gz, size 51M
pagecounts-20090131-200000.gz, size 50M
pagecounts-20090131-210000.gz, size 55M
pagecounts-20090131-220000.gz, size 55M
pagecounts-20090131-230001.gz, size 54M
